iter	Passed	Remaining
0	0	57
1	1	66
2	2	72
3	2	71
4	3	72
5	4	73
6	5	71
7	6	70
8	6	70
9	7	69
10	8	69
11	9	68
12	10	67
13	10	66
14	11	66
15	12	65
16	13	65
17	14	64
18	14	63
19	15	62
20	16	61
21	17	60
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	21	53
29	22	52
30	23	51
31	23	50
32	24	49
33	25	48
34	25	47
35	26	47
36	27	46
37	27	45
38	28	44
39	28	42
40	29	42
41	29	40
42	29	39
43	30	38
44	31	37
45	31	37
46	32	36
47	32	35
48	33	34
49	33	33
50	34	32
51	34	31
52	35	31
53	35	30
54	36	29
55	36	28
56	37	27
57	37	27
58	38	26
59	38	25
60	38	24
61	39	24
62	39	23
63	40	22
64	40	22
65	41	21
66	41	20
67	42	20
68	43	19
69	43	18
70	44	18
71	45	17
72	45	16
73	46	16
74	46	15
75	47	15
76	48	14
77	48	13
78	49	13
79	49	12
80	50	11
81	50	11
82	51	10
83	51	9
84	52	9
85	52	8
86	53	7
87	53	7
88	54	6
89	54	6
90	55	5
91	55	4
92	55	4
93	56	3
94	57	3
95	57	2
96	57	1
97	58	1
98	58	0
99	59	0
